spec_index,tb,vm_298K,C_number,H_number,S_number,N_number,O_number,mw,aromatic_ring_number,naphthenic_ring_number,thiophene_ring_number,total_ring_number,cetane_number_Beta,cetane_number,tm,gasoline_piona_type
191,645.3000476,426.6,24,50,0,0,0,338.6538,0,0,0,0,7.3717,65,288.8321951,2
192,655.2506791,443.1,25,52,0,0,0,352.68038,0,0,0,0,7.3717,70,294.4656475,2
193,664.8121535,459.6,26,54,0,0,0,366.70696,0,0,0,0,7.3717,70,299.8863741,2
194,674.0137676,476.1,27,56,0,0,0,380.73354,0,0,0,0,7.3717,70,305.1098575,2
195,682.8816294,492.6,28,58,0,0,0,394.76012,0,0,0,0,7.3717,70,310.1499494,2
196,691.4391051,509.1,29,60,0,0,0,408.7867,0,0,0,0,7.3717,70,315.0190915,2
197,699.7071897,525.6,30,62,0,0,0,422.81328,0,0,0,0,7.3717,70,319.728501,2
198,522.8582523,277.8,15,32,0,0,0,212.41458,0,0,0,0,7.3717,57.5,217.8744008,2
199,539.0658172,294.3,16,34,0,0,0,226.44116,0,0,0,0,7.3717,60,226.9965453,2
200,554.2655359,310.8,17,36,0,0,0,240.46774,0,0,0,0,7.3717,60,235.5735541,2
201,568.5754472,327.3,18,38,0,0,0,254.49432,0,0,0,0,7.3717,60,243.6669235,2
202,582.0939953,343.8,19,40,0,0,0,268.5209,0,0,0,0,7.3717,60,251.3282973,2
203,594.9041398,360.3,20,42,0,0,0,282.54748,0,0,0,0,7.3717,60,258.6014649,2
204,607.0764424,376.8,21,44,0,0,0,296.57406,0,0,0,0,7.3717,60,265.5238773,2
205,618.6714207,393.3,22,46,0,0,0,310.60064,0,0,0,0,7.3717,62,272.1278149,2
206,629.7413678,409.8,23,48,0,0,0,324.62722,0,0,0,0,7.3717,64,278.441297,2
207,640.331779,426.3,24,50,0,0,0,338.6538,0,0,0,0,7.3717,65,284.4888006,2
208,650.4824808,442.8,25,52,0,0,0,352.68038,0,0,0,0,7.3717,70,290.2918332,2
209,660.2285353,459.3,26,54,0,0,0,366.70696,0,0,0,0,7.3717,70,295.8693948,2
210,669.6009713,475.8,27,56,0,0,0,380.73354,0,0,0,0,7.3717,70,301.2383529,2
211,678.6273798,492.3,28,58,0,0,0,394.76012,0,0,0,0,7.3717,70,306.4137505,2
212,687.3324042,508.8,29,60,0,0,0,408.7867,0,0,0,0,7.3717,70,311.4090595,2
213,695.7381456,525.3,30,62,0,0,0,422.81328,0,0,0,0,7.3717,70,316.2363929,2
214,513.2009315,255.7,14,28,0,0,0,196.37212,0,0,0,0,0.3597,79.7,218.0505688,3
215,530.0394486,272.2,15,30,0,0,0,210.3987,0,0,0,0,0.3597,83,227.1618744,3
216,545.7927226,288.7,16,32,0,0,0,224.42528,0,0,0,0,0.3597,86.5,235.7293007,3
217,560.5922115,305.2,17,34,0,0,0,238.45186,0,0,0,0,0.3597,87,243.8141377,3
218,574.5468458,321.7,18,36,0,0,0,252.47844,0,0,0,0,0.3597,90,251.4678653,3
219,587.7478983,338.2,19,38,0,0,0,266.50502,0,0,0,0,0.3597,90,258.7341418,3
220,600.2726062,354.7,20,40,0,0,0,280.5316,0,0,0,0,0.3597,90,265.6503116,3
221,612.1869086,371.2,21,42,0,0,0,294.55818,0,0,0,0,0.3597,90,272.2485676,3
222,623.5475485,387.7,22,44,0,0,0,308.58476,0,0,0,0,0.3597,90,278.5568568,3
223,634.4037066,404.2,23,46,0,0,0,322.61134,0,0,0,0,0.3597,90,284.5995956,3
224,644.7982887,420.7,24,48,0,0,0,336.63792,0,0,0,0,0.3597,90,290.3982409,3
225,654.7689491,437.2,25,50,0,0,0,350.6645,0,0,0,0,0.3597,90,295.9717494,3
226,664.3489148,453.7,26,52,0,0,0,364.69108,0,0,0,0,0.3597,90,301.3369519,3
227,673.5676531,470.2,27,54,0,0,0,378.71766,0,0,0,0,0.3597,90,306.5088596,3
228,682.4514183,486.7,28,56,0,0,0,392.74424,0,0,0,0,0.3597,90,311.5009174,3
229,691.0237025,503.2,29,58,0,0,0,406.77082,0,0,0,0,0.3597,90,316.3252145,3
230,699.30561,519.7,30,60,0,0,0,420.7974,0,0,0,0,0.3597,90,320.9926605,3
231,521.5001127,256,14,28,0,0,0,196.37212,0,0,0,0,0.3597,79.7,224.8897262,3
232,537.7950088,272.5,15,30,0,0,0,210.3987,0,0,0,0,0.3597,83,233.5897601,3
233,553.071506,289,16,32,0,0,0,224.42528,0,0,0,0,0.3597,86.5,241.7925794,3
234,567.449447,305.5,17,34,0,0,0,238.45186,0,0,0,0,0.3597,87,249.5519573,3
235,581.0286906,322,18,36,0,0,0,252.47844,0,0,0,0,0.3597,90,256.9133893,3
236,593.8933219,338.5,19,38,0,0,0,266.50502,0,0,0,0,0.3597,90,263.9157099,3
237,606.1148089,355,20,40,0,0,0,280.5316,0,0,0,0,0.3597,90,270.5923322,3
238,617.7544071,371.5,21,42,0,0,0,294.55818,0,0,0,0,0.3597,90,276.9722129,3
239,628.8650171,388,22,44,0,0,0,308.58476,0,0,0,0,0.3597,90,283.0806104,3
240,639.4926381,404.5,23,46,0,0,0,322.61134,0,0,0,0,0.3597,90,288.9396897,3
241,649.6775185,421,24,48,0,0,0,336.63792,0,0,0,0,0.3597,90,294.5690074,3
242,659.4550764,437.5,25,50,0,0,0,350.6645,0,0,0,0,0.3597,90,299.9859056,3
243,668.8566427,454,26,52,0,0,0,364.69108,0,0,0,0,0.3597,90,305.205834,3
244,677.910067,470.5,27,54,0,0,0,378.71766,0,0,0,0,0.3597,90,310.2426161,3
245,686.6402148,487,28,56,0,0,0,392.74424,0,0,0,0,0.3597,90,315.1086691,3
246,695.0693792,503.5,29,58,0,0,0,406.77082,0,0,0,0,0.3597,90,319.8151888,3
247,529.5268323,256.3,14,28,0,0,0,196.37212,0,0,0,0,0.3597,79.7,231.4178523,3
248,545.3121222,272.8,15,30,0,0,0,210.3987,0,0,0,0,0.3597,83,239.7421494,3
249,560.1398631,289.3,16,32,0,0,0,224.42528,0,0,0,0,0.3597,86.5,247.6101359,3
250,574.1196121,305.8,17,34,0,0,0,238.45186,0,0,0,0,0.3597,87,255.0692494,3
